datetime_start,ts_3_1_1,ts_3_2_1,ts_3_3_1,swc_3_1_1,swc_3_2_1,swc_3_3_1
2024-07-02 06:30:00,19.28216,20.04519,21.04983,13.14025,17.06338,19.61295
2024-07-02 07:00:00,19.28216,19.99017,20.96502,12.773309999999999,16.34458,19.39732
2024-07-02 07:30:00,19.36322,19.93524,20.88043,12.935940000000002,16.49908,19.47102
2024-07-02 08:00:00,19.58007,19.96267,20.82418,13.287930000000001,16.29371,19.47711
2024-07-02 08:30:00,19.77087,20.04519,20.79605,12.893089999999999,16.08937,19.0423
2024-07-02 09:00:00,20.01763,20.15548,20.73989,12.611469999999999,16.10082,18.60492
2024-07-02 09:30:00,20.34924,20.29376,20.73989,12.89823,15.980369999999999,18.95898
2024-07-02 10:00:00,20.68386,20.46044,20.73989,12.493219999999999,15.69948,18.588820000000002
2024-07-02 10:30:00,21.07809,20.65582,20.76797,12.46867,15.76815,18.736900000000002
2024-07-02 11:00:00,21.53399,20.93682,20.79605,12.40939,15.51446,18.79582
2024-07-02 11:30:00,21.96673,21.19155,20.88043,12.43866,15.23446,18.523139999999998
2024-07-02 12:00:00,22.37539,21.47671,20.93682,12.44183,15.00828,18.607760000000003
2024-07-02 12:30:00,22.84835,21.79302,21.02154,11.957329999999999,14.90071,18.48797
2024-07-02 13:00:00,23.57,22.1705,21.16317,12.15585,14.84761,18.23722
2024-07-02 13:30:00,24.33816,22.64065,21.30532,11.80237,14.92225,18.04853
2024-07-02 14:00:00,24.58767,22.96759,21.44808,11.654309999999999,14.901890000000002,18.16001
2024-07-02 14:30:00,24.49386,23.08721,21.62014,11.67875,14.51855,17.85539
2024-07-02 15:00:00,24.33816,23.11721,21.70648,11.62298,14.500660000000002,18.18028
2024-07-02 15:30:00,24.05963,23.11721,21.82189,11.61481,14.45312,17.901439999999997
2024-07-02 16:00:00,23.6004,22.99746,21.87979,11.47549,14.087930000000002,17.83959
2024-07-02 16:30:00,23.17724,22.84835,21.93774,11.51714,14.314660000000002,17.65099
2024-07-02 17:00:00,22.90792,22.69985,21.99578,11.14554,13.508999999999999,17.85169
2024-07-02 17:30:00,22.81857,22.61108,21.99578,11.23455,13.887640000000001,17.551759999999998
2024-07-02 18:00:00,22.67025,22.52255,21.99578,11.30386,13.954939999999999,17.41583
2024-07-02 18:30:00,22.43417,22.40478,21.99578,11.09289,13.719980000000001,17.34465
2024-07-02 19:00:00,22.11215,22.25817,21.96673,10.7947,13.760729999999999,17.59996
