Ux,Uy,Uz,CO2,H2O,T_SONIC
-1.804415,-0.1406266,-0.3373766,607.7259,7.541104,23.82816
-1.627394,-0.2276728,-0.109762,607.1483,7.519244,23.78717
-1.551036,-0.2998384,-0.1950036,607.7556,7.535964,23.7767
-1.691712,-0.2623232,-0.2036122,607.8416,7.580998,23.58517
-1.618218,-0.3859579,-0.1589514,608.0463,7.651981,23.47287
-1.457211,-0.4672866,-0.106712,607.3154,7.582569,23.64734
-1.478813,-0.427452,0.003320867,607.1912,7.575301,23.66388
-1.301288,-0.2557264,-0.1708387,607.2855,7.599373,23.6647
-1.686698,-0.4275506,-0.235783,607.8217,7.608519,23.61105
-1.611712,-0.461954,-0.1101255,607.9409,7.635303,23.52713
-1.654309,-0.5691201,-0.20421,608.387,7.661309,23.45856
-1.533826,-0.3921751,-0.1063551,608.3606,7.673802,23.43402
-1.321216,-0.36792,-0.05265956,608.0984,7.684184,23.38419
-1.379185,0.2208612,-0.08629049,608.2521,7.679028,23.37973
-1.27269,-0.2586493,-0.09775414,607.6083,7.658741,23.43048
-1.528825,-0.05270986,-0.4225308,608.2744,7.660258,23.58099
-1.747604,-0.5901156,-0.2231564,607.3228,7.467771,24.05426
-1.651573,-0.6676712,-0.01628469,608.0163,7.610092,23.60608
-1.46375,-0.5528359,0.006931922,608.5406,7.655921,23.59076
-1.777172,-0.2506371,-0.2448712,607.3418,7.530336,23.78568
-1.825177,-0.4509372,-0.2785866,607.4784,7.45686,24.0488
-1.513678,0.2726136,-0.3665551,607.9905,7.543418,23.91318
-1.962786,0.003647082,-0.000207259,606.6528,7.413316,24.11771
-1.723591,-0.3930975,-0.2531694,606.2009,7.317112,24.40369
-1.932554,-0.2752029,-0.2770678,606.2156,7.338266,24.33444
-1.93282,-0.4922996,-0.2539413,606.414,7.356781,24.29254
-1.792725,-0.4719999,-0.03904435,606.6053,7.357562,24.25562
-1.696033,-0.5367653,-0.1750303,606.6223,7.362604,24.22186
-2.105386,-0.6710629,-0.1990468,606.9592,7.43086,24.03656
-2.419255,-0.3924921,-0.4024348,607.6368,7.456139,24.01984
-2.040068,-0.5444267,-0.1677902,607.3794,7.457176,23.99951
-2.194822,-0.6691393,-0.05033908,607.3235,7.471272,23.99869
-1.886662,-0.7345123,-0.2048484,606.9019,7.438034,24.04428
-1.767918,-0.7127542,-0.08889598,607.0318,7.45639,24.0098
-1.951055,-0.8165694,-0.1282677,606.8787,7.494863,23.93951
-2.212053,-0.8419415,-0.4700555,606.9507,7.398454,24.35031
-2.174591,-0.7783108,-0.2783373,606.9199,7.394857,24.11966
-2.33467,-0.6980177,-0.2440041,606.2807,7.243059,24.49316
-2.178827,-0.7150575,-0.1747197,606.5403,7.408132,24.08829
-2.297343,-0.6550578,-0.2398039,607.2416,7.452162,24.07352
-2.291263,-0.7799722,-0.152077,606.8555,7.398546,24.15637
-2.400098,-0.9621974,-0.1398498,607.2126,7.478923,23.93512
-2.318029,-0.5944312,-0.4911957,607.0517,7.526826,23.86707
-2.293371,-0.7168694,-0.2526489,607.2878,7.496256,23.95215
-2.303415,-0.9021916,-0.196717,606.6621,7.44274,23.99286
-2.274364,-0.7824337,0.03446673,607.4282,7.475729,23.9209
-2.196329,-0.7471349,-0.02344461,607.7244,7.581443,23.61926
-2.169338,-0.7616976,-0.1040272,607.7057,7.550385,23.71667
-2.147623,-0.7782655,-0.1476289,607.6938,7.587859,23.60529
-2.19392,-0.8657398,-0.08477814,607.5098,7.534839,23.8884
-2.216476,-0.8382334,-0.1052662,607.3874,7.562407,23.65311
-1.994088,-0.8070692,-0.2299407,607.2396,7.519071,23.91354
-2.00982,-0.7099592,-0.1413628,607.2523,7.464829,23.9985
-1.849163,-0.7353532,-0.02571393,606.9263,7.459716,24.01886
-1.84076,-0.8514401,-0.01996329,606.9213,7.442196,24.00937
-1.895616,-0.9602755,-0.2062219,607.2358,7.541213,23.69958
-2.147196,-0.8281522,-0.2189703,607.8463,7.596089,23.62851
-2.170831,-0.8536026,-0.3002036,607.8539,7.623542,23.55933
-1.942908,-0.4993812,-0.397388,607.9553,7.5674,23.77753
-2.160706,-0.5441718,-0.2749763,607.8384,7.605598,23.53479
-2.049234,-0.8330337,-0.1614625,607.8168,7.678295,23.34705
-2.003371,-0.892522,-0.3095248,608.046,7.669716,23.38315
-1.607383,-0.3885546,-0.3836398,607.6529,7.665811,23.39642
-1.91785,-0.5647801,-0.4046544,607.6337,7.644626,23.54868
-1.65251,0.0290079,-0.3021007,607.8764,7.66961,23.41266
-1.912893,-0.1517548,-0.3943183,607.8976,7.645793,23.50854
-1.725736,-0.4845442,-0.3375134,607.9413,7.664537,23.39993
-1.60806,-0.4907674,-0.3041276,608.4191,7.726303,23.27475
-1.979374,-0.3760762,-0.2732472,608.1343,7.718666,23.35034
-2.035949,-0.3707252,-0.09402466,607.8131,7.697531,23.32693
-1.914166,-0.5870592,-0.03437757,607.9751,7.684704,23.36923
-1.875585,-0.5642099,0.0219227,607.7578,7.666527,23.43509
-1.987674,-0.4512613,-0.01640209,607.4143,7.567601,23.68695
-2.207378,-0.455042,0.06740101,607.9681,7.598611,23.67914
-2.274568,-0.6968566,-0.09099422,607.4393,7.477774,23.92325
-2.075161,-0.7686937,-0.175971,607.2194,7.433527,24.27707
-2.125525,-0.8533056,-0.178241,605.749,7.202982,24.69983
-2.005719,-0.8399589,-0.007042115,605.2258,7.155487,24.64938
-2.146299,-0.8548658,-0.09268165,606.0266,7.290829,24.69882
-2.125859,-0.694795,-0.07582191,605.315,7.263337,24.71191
-2.211601,-0.4996601,0.1439196,605.6833,7.343634,24.38843
-1.896777,-0.5541782,-0.1782446,606.616,7.343451,24.3587
-2.089246,-0.46352,-0.2435193,605.8898,7.246823,24.59222
-1.869664,-0.5132814,-0.05870494,606.1501,7.288943,24.42191
-1.524257,0.0136294,-0.221974,607.2006,7.391275,24.18439
-1.42232,-0.3843695,0.178282,606.9213,7.402569,24.14276
-1.378549,0.2542782,0.09672438,606.8087,7.390141,24.03427
-1.17904,0.2517926,-0.119839,607.1237,7.424643,24.10654
-1.323545,0.1239018,-0.1175932,606.9122,7.432656,24.01212
-1.485383,0.5207324,0.1654854,607.1378,7.483798,23.85648
-1.861972,-0.1738546,-0.2734881,607.0086,7.411361,24.23825
-2.143048,-0.3440595,-0.291054,605.9843,7.229136,24.72571
-1.840598,0.2555585,-0.3429062,605.796,7.248072,24.30899
