date,theta_1,ws,rh,wd,H,vp,sw_in,flux_corr,es,flux,ebr_corr,LE_corr,vpd,lw_in,G,t_dew,H_corr,sw_out,ebc_cf,ebr_5day_clim,energy,ETrF_filtered,t_avg,ebr,LE,theta_mean,ETrF,Rn,DOY,t_min,theta_2,rso,t_max,lw_out,ET_corr,ET_gap,G_subday_gaps,ET_fill_val,H_subday_gaps,gridMET_prcp,LE_subday_gaps,gridMET_ETr,ET_fill,Rn_subday_gaps,gridMET_ETo,ET
2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,197.40286569430154,,,,0.0,1392.0,,1392.0,40.7,1392.0,72.4,,1392.0,51.6,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,260.9446662521337,,,,0.0,1488.0,,1488.0,37.6,1488.0,134.20000000000002,,1488.0,95.30000000000001,
2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5,,,321.90427540635795,,,,0.0,1440.0,,1440.0,8.3,1440.0,202.0,,1440.0,145.60000000000002,
2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,,,362.8223661741321,,,,0.0,1488.0,,1488.0,2.6,1488.0,265.1,,1488.0,193.5,
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.5,,,378.36110510198785,,,,2.0,850.0,,850.0,6.0,850.0,328.3,,851.0,236.70000000000002,
2024-07-31,,2.7738223655241936,23.003323271604106,258.96861013486557,-26.548981085765895,0.8034986612631576,334.6915394997539,139.76298570789223,3.3884624470718983,97.48224291458327,0.9206488852386113,175.15692104153294,2.4293217949324695,372.0475253360215,3.1202812296672673,5.055139493232214,-37.69108791233451,115.50184451377041,1.4391637031725262,0.696816969283149,149.3140711223154,0.6094795028594212,25.34191824596774,0.652867088693386,124.03122400034916,32.93916924314839,0.6346343000529543,152.43435235198268,198.0,16.960332903225805,36.19697062242671,368.16273903990526,32.96901806451613,439.22864186827957,192.16217495304204,1.0,30.0,,27.0,7.9,67.0,318.0,189.16983759358186,3.0,231.4,136.07289988256153
2024-08-31,,2.629609266801075,43.15809528839224,246.7964925106317,-19.039719899966396,1.2849123775615867,301.4872668915353,141.94291771099182,2.994560416067004,101.61151338300475,,170.124494790859,1.7070142492563014,372.4725256048387,,9.765977006530651,-28.18157707986715,102.80000298839893,1.3957745415860447,0.735764845847747,,0.7303544506333672,23.3381257594086,,120.65123328297115,,0.7592689403582688,138.94350040251058,229.0,16.678535483870967,,332.3779347036869,30.096597096774193,424.9997477150538,186.2325803282267,0.0,505.0,,3.0,75.4,44.0,246.70000000000002,179.78833532968312,14.0,181.5,132.08901885106673
2024-09-30,,2.6566087680555555,32.151464555171394,232.1046022379257,-30.136902572022915,0.7843742396655277,311.3379720060253,,2.4223026907994614,87.8853803188868,,195.9022538014359,1.639304829158747,339.1208935633841,,2.7944001763493325,,,,-0.3290033305058685,,0.9460319103157707,19.660405720833335,,118.02228289090972,,,126.2073392683256,259.5,12.260048033333334,,275.93209222033204,27.380230333333333,402.59515242797204,206.90044664336955,23.0,825.0,,2.0,5.7,14.0,219.60000000000002,208.87320242048077,89.0,155.0,124.6398129732276
2024-10-31,,2.8751175692876347,37.50449668139647,221.05640425143278,-0.23496480791716487,0.6252308753482905,237.7947719975851,,1.8456239370329517,55.28533932334465,,107.5932716384542,1.2227734052108787,318.0724349192265,279.2205774179836,-0.32270694809873407,,,,,-211.46182974219576,0.7245352908153923,14.933870082116934,-0.27321195067364445,55.52030413126181,,,76.86727922941436,290.0,8.583489322580645,,211.3208678822559,22.487720322580646,380.2260008130221,117.05695019215108,31.0,187.0,117.05695019215108,21.0,18.0,20.0,158.0,117.05695019215108,113.0,106.5,60.340311978244586
2024-11-30,,3.021235819513889,39.446436975694446,251.0767901701972,15.374983200545834,0.297325661452677,192.1903942372174,,0.7936251996410906,28.410083163993825,,37.94784666738572,0.4976355026105201,262.40951072456494,,-10.679960415825986,,,,,,0.4727713291351855,2.7689799613701394,,13.035099963447994,,,38.05290422973368,320.5,-3.2925691233333336,,159.2589537062019,9.9253727,324.57489019847503,39.454135426613725,30.0,959.0,39.454135426613725,0.0,5.3,44.0,81.5,39.454135426613725,87.0,53.400000000000006,13.555572936913217
2024-12-31,,2.6360438068405396,39.640776517863955,273.16119844952783,9.833809252043011,0.2757666432398035,159.78169551059014,,0.7374924929706286,13.863779723376801,,13.56086779909193,0.46216982251755717,259.72710224246276,,-11.158862852108207,,,,,,0.22127033820978864,1.7114863821385082,,4.1096700178629115,,,21.263362354440233,351.0,-4.350505458064516,,137.32724895790892,9.416393258064515,319.43507263701,14.545915971771485,31.0,1488.0,14.545915971771485,1.0,0.4,119.0,66.0,14.545915971771485,57.0,42.0,4.410188998162708
2025-01-31,,2.7800247917338705,23.48969193375784,266.5131931327957,17.453695703417953,0.1306098614885113,175.8773742625805,29.593567862383743,0.5602363106024414,19.805001748831767,,4.55688051006364,0.44052205787113574,241.65120191260493,,-22.29971446010148,25.911153189229967,,1.5063428059317414,0.6685438195621052,,0.07698224274453562,-2.10991875388918,,3.03377470598694,,0.07898173354977954,25.858022659415003,16.0,-8.582200838709678,,151.4841264707762,5.2452008341935485,304.22946446829025,4.873131087565092,2.0,461.0,,38.0,0.0,206.0,64.9,4.903411121925654,17.0,42.2,3.2447993461773925
